"season_id","league_id","league_name","season_year_id","season_name","url"
"73_2021","73","USL Championship","2021","2021 Season","https://fbref.com/en/comps/73/2021/schedule/"
"73_2020","73","USL Championship","2020","2020 Season","https://fbref.com/en/comps/73/2020/schedule/"
"73_2022","73","USL Championship","2022","2022 Season","https://fbref.com/en/comps/73/2022/schedule/"
"73_2023","73","USL Championship","2023","2023 Season","https://fbref.com/en/comps/73/2023/schedule/"
"73_2026","73","USL Championship","2026","2026 Season","https://fbref.com/en/comps/73/2026/schedule/"
"73_2018","73","USL Championship","2018","2018 Season","https://fbref.com/en/comps/73/2018/schedule/"
"73_2024","73","USL Championship","2024","2024 Season","https://fbref.com/en/comps/73/2024/schedule/"
"73_2025","73","USL Championship","2025","2025 Season","https://fbref.com/en/comps/73/2025/schedule/"
"73_2019","73","USL Championship","2019","2019 Season","https://fbref.com/en/comps/73/2019/schedule/"
"73_2017","73","USL Championship","2017","2017 Season","https://fbref.com/en/comps/73/2017/schedule/"
